0,CALTECH,0,51475,44.2,0
0,CALTECH,0,51477,42.5,0
0,CALTECH,0,51487,17,0
0,CALTECH,0,51476,39.3,0
0,CALTECH,0,51483,20.9,0
0,CALTECH,0,51491,56.2,0
0,CALTECH,0,51481,27.9,0
0,CALTECH,0,51489,34.1,0
0,CALTECH,0,51484,23.6,0
0,CALTECH,0,51493,29.2,1
0,CALTECH,0,51480,20.8,1
0,CALTECH,0,51486,22,0
0,CALTECH,0,51482,21.1,1
0,CALTECH,0,51490,44.1,0
0,CALTECH,0,51488,23.3,0
0,CALTECH,0,51485,23.9,0
0,CALTECH,0,51479,20,1
0,CALTECH,0,51478,19.7,0
0,CALTECH,0,51492,18.7,0
0,CMU,1,50659,27,0
0,CMU,1,50665,33,0
0,CMU,1,50656,28,1
0,CMU,1,50658,27,0
0,CMU,1,50666,31,0
0,CMU,1,50657,21,0
0,CMU,1,50664,21,0
0,CMU,1,50660,25,0
0,CMU,1,50667,40,0
0,CMU,1,50668,25,0
0,CMU,1,50663,21,0
0,CMU,1,50661,20,1
0,CMU,1,50669,30,1
0,KKI,2,50817,9.97,0
0,KKI,2,50811,12.76,0
0,KKI,2,50778,9.73,1
0,KKI,2,50772,12.77,0
0,KKI,2,50818,11.79,0
0,KKI,2,50810,11.85,1
0,KKI,2,50822,12.43,0
0,KKI,2,50808,11.09,0
0,KKI,2,50776,9.3,0
0,KKI,2,50816,9.73,0
0,KKI,2,50821,11.17,0
0,KKI,2,50777,8.39,0
0,KKI,2,50781,9.3,0
0,KKI,2,50820,8.87,1
0,KKI,2,50813,10.79,0
0,KKI,2,50774,10.64,0
0,KKI,2,50786,8.75,0
0,KKI,2,50780,9.82,1
0,KKI,2,50812,9.97,1
0,KKI,2,50782,10.18,0
0,KKI,2,50788,10.25,1
0,KKI,2,50783,10.4,1
0,KKI,2,50819,9.71,0
0,KKI,2,50773,10.84,0
0,KKI,2,50790,8.83,1
0,KKI,2,50775,11,0
0,KKI,2,50809,8.43,0
0,KKI,2,50787,10.82,0
0,KKI,2,50784,8.07,1
0,KKI,2,50785,10.37,0
0,KKI,2,50814,8.46,0
0,KKI,2,50779,9.41,0
0,KKI,2,50789,9.31,0
0,LEUVEN_1,3,50703,29,0
0,LEUVEN_1,3,50701,18,0
0,LEUVEN_1,3,50692,22,0
0,LEUVEN_1,3,50685,23,0
0,LEUVEN_1,3,50691,22,0
0,LEUVEN_1,3,50710,27,0
0,LEUVEN_1,3,50683,24,0
0,LEUVEN_1,3,50706,22,0
0,LEUVEN_1,3,50699,21,0
0,LEUVEN_1,3,50707,22,0
